ad,media
[E1802M030] DIRITTO COMMERCIALE,9
[E1601N021] ANTROPOLOGIA ECONOMICA,9
[E1601N010] INNOVAZIONE ORGANIZZATIVA,9
[E0201Q050] METODOLOGIE BIOCHIMICHE E TECNOLOGIE BIOMOLECOLARI,9
[G8501R018] BIOLOGIA: FONDAMENTI E DIDATTICA CON LABORATORIO,8.833333333333334
[E1803M017] ABILITÀ INFORMATICHE PREPARAZIONE TESI,8.833333333333334
[E2401P035] CRIMINOLOGIA,8.8
[E3501Q065] FISICA I,8.75
[G8501R015] LABORATORIO DI LINGUA INGLESE II,8.666666666666666
[F8501R005] CONSULENZA FAMILIARE: TEORIE E PRATICHE,8.666666666666666
[F5104P010] PSICHIATRIA E NEUROPSICHIATRIA INFANTILE,8.666666666666666
[E2004P029] PSICOLOGIA DEL COMPORTAMENTO ECONOMICO E DEI CONSUMI,8.666666666666666
[E1801M031] ECONOMIA AZIENDALE,8.583333333333334
[I0201D101] CINESIOLOGIA,8.5
[G8501R025] LABORATORIO DI LINGUA INGLESE IV,8.5
[F4901N001] INGLESE PER IL TURISMO,8.5
[E3901N002] METODOLOGIA DELLA RICERCA SOCIALE,8.5
[E3301M138] ECONOMIA E TECNICA DELLA COMUNICAZIONE AZIENDALE,8.5
[E1802M026] ABILITÀ INFORMATICHE PREPARAZIONE TESI,8.5
[F4901N009] GEOGRAFIA,8.4
[E4102B054] STATISTICA MEDICA,8.4
[F9201P100] COGNIZIONE E LINGUAGGIO,8.333333333333334
[F5602M004] GLOBAL MACROECONOMICS,8.333333333333334
[F1601M042] ULTERIORI CONOSCENZE LINGUISTICHE PER LA FINANZA - INGLESE,8.333333333333334
[E0201Q059] BIOCHIMICA PER LE BIOTECNOLOGIE,8.333333333333334
[E1301Q055] FISIOLOGIA VEGETALE,8.285714285714286
[I0301D002] SCIENZE BIOMEDICHE,8.25
[F7702M055] GLOBAL MARKETING MANAGEMENT,8.25
[F6302N001] CAMBIAMENTO ORGANIZZATIVO,8.2
[E4101B013] MACROECONOMIA,8.2
[E3101Q130] FISICA,8.2
[E3301M004] ISTITUZIONI DI DIRITTO PUBBLICO,8.166666666666666
[E2001R029] GEOGRAFIA CULTURALE **,8.166666666666666
[E1803M060] LINGUA - SPAGNOLO,8.166666666666666
[G8501R016] PROGETTAZIONE DIDATTICA E VALUTAZIONE CON LABORATORIO,8.142857142857142
[I0101D902] TIROCINIO 1,8
[H4101D037] PEDIATRIA,8
[H4101D020] DIAGNOSTICA PER IMMAGINI E RADIOTERAPIA,8
[G8501R022] LABORATORIO DI LINGUA INGLESE III,8
[E3901N031] DISAGIO PSICHICO,8
[E3301M021] ABILITÀ INFORMATICHE PREPARAZIONE TESI,8
[E2001R055] LINGUA CINESE I,8
[E2001R001] LETTERATURA ITALIANA CONTEMPORANEA,8
[E1901R002] FILOSOFIA DELL'EDUCAZIONE,8
[A5810010] DIRITTO AMMINISTRATIVO,8
[E3101Q108] LINGUAGGI DI PROGRAMMAZIONE,7.833333333333333
[H4101D256] MICROBIOLOGIA MEDICA,7.8
[E1901R087] PEDAGOGIA DELL'ADOLESCENZA,7.8
[E1901R016] FILOSOFIA TEORETICA,7.777777777777778
[F8204B005] MICROECONOMIA M,7.75
[A5810043] DIRITTO DELL'INFORMAZIONE E DELLA COMUNICAZIONE,7.714285714285714
[H4101D011] SEMEIOTICA SU MANICHINI,7.666666666666667
[E4102B004] LABORATORIO DI INFORMATICA,7.666666666666667
[I0303D001] SCIENZE PROPEDEUTICHE,7.6
[E1601N043] RETI DI IMPRESE E TERRITORIO,7.6
