CdsCod,AdCod,TipoCorso,n°iscritti,n°passati,Tasso_superamento,voto_medio
H4101D,H4101D018,[LM6] Laurea Magistrale Ciclo Unico 6 anni,189,113,0.6,28.44
H4601D,H4601D033,[LM6] Laurea Magistrale Ciclo Unico 6 anni,40,24,0.6,
I0101D,I0101D901,[L2] Corso di Laurea - L2,392,235,0.6,24.9
581,A5810003,[LM5] Laurea Magistrale Ciclo Unico 5 anni,493,299,0.61,25.51
E1601N,E1601N008,[L2] Corso di Laurea - L2,327,201,0.61,24.96
E1802M,E1802M130,[L2] Corso di Laurea - L2,109,66,0.61,25.59
E2001R,E2001R055,[L2] Corso di Laurea - L2,62,38,0.61,26.5
E2702Q,E2702Q085,[L2] Corso di Laurea - L2,80,49,0.61,26.98
F5102P,F5102P002,[LM] Corso di Laurea Magistrale,117,71,0.61,27.56
F8204B,F8204B003,[LM] Corso di Laurea Magistrale,56,34,0.61,27.53
E1401A,E1401A008,[L2] Corso di Laurea - L2,119,74,0.62,25.62
E1401A,E1401A084,[L2] Corso di Laurea - L2,177,110,0.62,27.14
E1901R,E1901R017,[L2] Corso di Laurea - L2,109,68,0.62,26.9
E2004P,E2004P026,[L2] Corso di Laurea - L2,130,81,0.62,27.6
E2004P,E2004P038,[L2] Corso di Laurea - L2,143,89,0.62,26.91
E3301M,E3301M218,[L2] Corso di Laurea - L2,191,119,0.62,
F4901N,F4901N001,[LM] Corso di Laurea Magistrale,45,28,0.62,26.36
F5401Q,F5401Q018,[LM] Corso di Laurea Magistrale,45,28,0.62,27.5
F7501Q,F7501Q046,[LM] Corso di Laurea Magistrale,37,23,0.62,28.74
F7701M,F7701M002,[LM] Corso di Laurea Magistrale,260,160,0.62,
F9201P,F9201P004,[LM] Corso di Laurea Magistrale,79,49,0.62,24.06
I0101D,I0101D007,[L2] Corso di Laurea - L2,403,250,0.62,25.26
I0102D,I0102D903,[L2] Corso di Laurea - L2,45,28,0.62,26.93
I0202D,I0202D005,[L2] Corso di Laurea - L2,42,26,0.62,25.04
I0202D,I0202D121,[L2] Corso di Laurea - L2,47,29,0.62,24.24
I0301D,I0301D031,[L2] Corso di Laurea - L2,37,23,0.62,27.39
581,A5810134,[LM5] Laurea Magistrale Ciclo Unico 5 anni,70,44,0.63,28.98
E0201Q,E0201Q055,[L2] Corso di Laurea - L2,38,24,0.63,23.96
E1301Q,E1301Q069,[L2] Corso di Laurea - L2,84,53,0.63,26.34
E1401A,E1401A017,[L2] Corso di Laurea - L2,135,85,0.63,24.92
E1401A,E1401A080,[L2] Corso di Laurea - L2,102,64,0.63,24.27
E1801M,E2004P029,[L2] Corso di Laurea - L2,41,26,0.63,25.19
E1802M,E1802M115,[L2] Corso di Laurea - L2,176,110,0.63,23.02
E1802M,E1802M129,[L2] Corso di Laurea - L2,312,198,0.63,23.71
E1901R,E1901R093,[L2] Corso di Laurea - L2,726,454,0.63,26.5
E2001R,E2001R037,[L2] Corso di Laurea - L2,244,154,0.63,23.14
E2001R,E2001R040,[L2] Corso di Laurea - L2,51,32,0.63,27.06
E2004P,E2004P007,[L2] Corso di Laurea - L2,142,90,0.63,25.9
E2401P,E2401P010,[L2] Corso di Laurea - L2,499,314,0.63,25.26
E2401P,E2401P101,[L2] Corso di Laurea - L2,536,340,0.63,26.99
E3101Q,E3101Q113,[L2] Corso di Laurea - L2,249,156,0.63,26.69
E3401Q,E3401Q046,[L2] Corso di Laurea - L2,84,53,0.63,26.04
E3501Q,E3501Q008,[L2] Corso di Laurea - L2,32,20,0.63,25.55
E3501Q,E3501Q012,[L2] Corso di Laurea - L2,38,24,0.63,27.75
E4101B,E4101B009,[L2] Corso di Laurea - L2,80,50,0.63,25.3
